Chip,Kbytes,Data EEPROM,RAM,I/O,ADC Channels,Max. Speed MHz,ADC,GPR,PINS,USART,ChipFamilyOverride,ChipSubFamily,Packages
AT90CAN128,128,4096,4,53,8,16,1,32,-1,0,,,"TQFP MF 64,VQFN (Sawn) PS 64"
AT90CAN32,32,1024,2,53,8,16,1,32,-1,0,,,"TQFP MF 64,VQFN (Sawn) PS 64"
AT90CAN64,64,2048,4,53,8,16,1,32,-1,0,,,"TQFP MF 64,VQFN (Sawn) PS 64"
AT90PWM1,8,512,0.5,19,8,16,1,32,-1,0,,,"QFN PN 32,SOIC TD 24"
AT90PWM161,16,512,1,20,11,16,1,32,-1,0,,,"QFN PN 32,SO TG 20"
AT90PWM216,16,512,1,19,8,16,1,32,-1,0,,,SOIC TD 24
AT90PWM2B,8,512,0.5,19,8,16,1,32,-1,0,,,SOIC TD 24
AT90PWM316,16,512,1,27,11,16,1,32,-1,0,,,"SOIC T4 32,VQFN (Punched) PU 32"
AT90PWM3B,8,512,0.5,27,11,16,1,32,-1,0,,,"SOIC T4 32,VQFN (Punched) PU 32"
AT90PWM81,8,512,0.25,20,11,16,1,32,-1,0,,,"QFN PN 32,SO TG 20"
AT90USB1286,128,4096,8,48,8,16,1,32,-1,0,,,"TQFP MD 64,VQFN (Sawn) PS 64"
AT90USB1287,128,4096,8,48,8,16,1,32,-1,0,,,"TQFP MD 64,VQFN (Sawn) PS 64"
AT90USB162,16,512,0.5,22,,16,1,32,-1,0,,,"TQFP MA 32,VQFN (Sawn) PN 32"
AT90USB646,64,2048,4,48,8,16,1,32,-1,0,,,"TQFP MD 64,VQFN (Sawn) PS 64"
AT90USB647,64,2048,4,48,8,16,1,32,-1,0,,,"TQFP MD 64,VQFN (Sawn) PS 64"
AT90USB82,8,512,0.5,22,,16,1,32,-1,0,,,VQFN (Sawn) PN 32
ATmega128,128,4096,4,53,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega1280,128,4096,8,86,16,16,1,32,-1,1,,,"CBGA 100C1 100,TQFP 100A 100"
ATmega1281,128,4096,8,54,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega1284,128,4096,16,32,8,20,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
ATmega1284P,128,4096,16,32,8,20,1,32,-1,1,,,"MLF (VQFN) 44M1 44,PDIP 40P6 40,TQFP 44A 44"
ATmega128A,128,4096,4,53,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega16,16,512,1,32,8,16,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
ATMEGA162,16,512,1,35,0,16,255,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
ATmega164A,16,512,1,32,8,20,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,QFN 44MC 44,TQFP 44A 44,VFBGA 49C2 49"
ATmega164P,16,512,1,32,8,20,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
ATmega164PA,16,512,1,32,8,20,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,QFN 44MC 44,TQFP 44A 44"
ATmega165P,16,512,1,54,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega165PA,16,512,1,54,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega168,16,512,1,23,8,20,1,32,-1,1,,,"MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32"
ATmega168A,16,512,1,23,8,20,1,32,-1,1,,,"MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32,UFBGA 32CC1 32 (6x6)"
ATmega168P,16,512,1,23,8,20,1,32,-1,1,,,"MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32"
ATmega168PA,16,512,1,23,8,20,1,32,-1,1,,,"MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32,UFBGA 32CC1 32 (6x6)"
ATmega169A,16,512,1,54,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,QFN 64MC 64,TQFP 64A 64"
ATmega169P,16,512,1,54,8,16,1,32,-1,1,,,"QFN R-QFN064_B 64,TQFP 64A 64"
ATmega169PA,16,512,1,54,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,QFN 64MC 64,TQFP 64A 64"
ATmega16A,16,512,1,32,8,16,1,32,-1,0,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
ATmega16M1,16,512,1,27,11,16,1,32,-1,0,,,"TQFP 32A 32,VQFN (Sawn) PV 32"
ATmega16U2,16,512,0.5,22,0,16,255,32,-1,0,,,"TQFP 32A 32,VQFN (Sawn) PN 32"
ATmega16U4,16,512,2.1,26,12,16,1,32,-1,0,,12000,"TQFP ML 44,VQFN (Sawn) PW 44"
ATmega2560,256,4096,8,86,16,16,1,32,-1,1,,,"CBGA 100C1 100,TQFP 100A 100"
ATmega2561,256,4096,8,54,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega32,32,1024,2,32,8,16,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
ATmega324A,32,1024,2,32,8,20,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,QFN 44MC 44,TQFP 44A 44,VFBGA 49C2 49"
ATmega324P,32,1024,2,32,8,20,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
ATmega324PA,32,1024,2,32,8,20,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,QFN 44MC 44,TQFP 44A 44,VFBGA 49C2 49"
ATmega325,32,1024,2,54,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega3250,32,1024,2,69,8,16,1,32,-1,1,,,TQFP 100A 100
ATmega3250A,32,1024,2,69,8,20,1,32,-1,1,,,TQFP 100A 100
ATmega3250P,32,1024,2,69,8,20,1,32,-1,1,,,TQFP 100A 100
ATmega325A,32,1024,2,54,8,20,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega325P,32,1024,2,54,8,20,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega325PA,32,1024,2,54,8,20,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega328,32,1024,2,23,8,20,1,32,-1,1,,,"MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32"
ATmega328P,32,1024,2,23,8,20,1,32,-1,1,,,"MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32"
ATmega329,32,1024,2,54,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega3290,32,1024,2,69,8,16,1,32,-1,1,,,TQFP 100A 100
ATmega3290A,32,1024,2,69,8,20,1,32,-1,1,,,TQFP 100A 100
ATmega3290P,32,1024,2,69,8,20,1,32,-1,1,,,TQFP 100A 100
ATmega329A,32,1024,2,54,8,20,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega329P,32,1024,2,54,8,20,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega329PA,32,1024,2,54,8,20,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega32A,32,1024,2,32,8,16,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
ATmega32M1,32,1024,2,27,11,16,1,32,-1,1,,,"TQFP 32A 32,VQFN (Sawn) PV 32"
ATmega32U2,32,1024,1,22,,16,1,32,-1,1,,,"TQFP 32A 32,VQFN (Sawn) PN 32"
ATmega32U4,32,1024,2.5,26,12,16,1,32,-1,1,,12000,"TQFP ML 44,VQFN (Sawn) PW 44"
ATmega48,4,256,0.5,23,8,20,1,32,-1,1,,,"MLF (VQFN) 28M1 28,MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32"
ATmega48A,4,256,0.5,23,8,20,1,32,-1,1,,,"MLF (VQFN) 28M1 28,PDIP 28P3 28,TQFP 32A 32,UFBGA 32CC1 32 (6x6)"
ATmega48P,4,256,0.5,23,8,20,1,32,-1,1,,,"MLF (VQFN) 28M1 28,MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32"
ATmega48PA,4,256,0.5,23,8,20,1,32,-1,1,,,"MLF (VQFN) 28M1 28,MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32,UFBGA 32CC1 32 (6x6)"
ATmega64,64,2048,4,53,8,16,1,32,-1,1,,,"MLF (VQFN) 64M1 64,TQFP 64A 64"
ATmega640,64,4096,8,86,16,16,1,32,-1,1,,,"CBGA 100C1 100,TQFP 100A 100"
ATmega644,64,2048,4,32,8,20,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
ATmega644A,64,2048,4,32,8,20,1,32,-1,1,,,"MLF (VQFN) 40M1 40,PDIP 40P6 40,TQFP 44A 44"
